CustomerID,Name,Birthyear,Education,Marital_Status,Income,Kid_Younger6,Children_6to18
14594,Miss Leah Lewis,1981,Graduation,Single,113947,0,0
19070,Miss Grace Black,1974,Graduation,Together,114297,0,0
29888,Mr. Gavin Morrison,1960,PhD,Together,115476,0,0
12221,Mr. Ryan Glover,1980,Graduation,Married,101172,1,1
21107,Mr. Paul Anderson,1971,HighSchool,Single,123128,0,0
28976,Mr. Matt Skinner,1963,Graduation,Single,232427.925,0,2
33446,Mr. Thomas Marshall,1968,Graduation,Married,70509,0,1
33803,Mr. Nathan Wallace,1981,PhD,Divorced,71692,0,1
5105,Mr. Michael Duncan,1996,HighSchool,Married,26231,1,0
12974,Mr. Joshua Bond,1975,PhD,Married,40298,0,0
31097,Mr. Gavin Mackay,1956,Graduation,Together,98807,0,0
21278,Miss Kylie Hart,1988,Graduation,Together,49801,1,0
13595,Mr. Neil Mackenzie,1968,Master,Married,66209,0,1
25334,Mr. Keith Hodges,1977,PhD,Married,56079,1,0
23564,Mr. Adrian McLean,1983,PhD,Together,33994,1,1
16223,Mr. Christopher Davidson,1970,Graduation,Married,28057,0,0
31232,Mr. Matt Edmunds,1986,HighSchool,Married,83475,1,0
9809,Mr. Boris Gray,1970,PhD,Single,113979,0,0
8264,Mr. Jonathan James,1990,Graduation,Married,38884,1,0
31736,Miss Pippa Forsyth,1998,PhD,Together,49861,0,0
19667,Mr. Christopher King,1973,PhD,Divorced,127559,0,0
8273,Mrs. Penelope Ball,1967,Master,married,64608,1,1
13655,Mr. Blake Avery,1986,PhD,Together,7075.1,0,0
13919,Mrs. Anna Smith,1981,Graduation,Married,65544,1,1
12869,Mr. Edward Taylor,1966,PhD,Married,121255,0,0
22892,Mr. Joseph Dyer,1959,Master,Married,103465,0,1
27767,Mr. Warren Jones,1968,PhD,Married,56744,1,1
14387,Mr. Luke Thomson,1963,Graduation,Divorced,75447,0,2
31109,Miss Julia Rees,1968,PhD,Single,68021,1,1
21338,Mr. Jonathan White,1960,PhD,Divorced,62368,1,1
24527,Mr. Andrew Bailey,1958,PhD,Widow,98053,1,1
13649,Mr. Steven Ball,1954,Graduation,Widow,116901,0,0
22748,Mr. Joseph Cameron,1967,Graduation,Married,108682,0,1
6683,Mr. Carl Hemmings,1973,Graduation,Married,72741,1,1
20450,Mr. Ryan MacDonald,1983,PhD,Married,27849,1,0
10208,Mr. Evan Rutherford,1993,Graduation,Married,28331,0,0
6365,Mr. Boris Abraham,1986,Graduation,Married,52906,1,0
18890,Mrs. Felicity Hunter,1972,Graduation,Divorced,102567,0,1
24947,Miss Carolyn Peake,1986,Graduation,Single,9075.8,0,1
21062,Mr. Jake Hamilton,1960,Master,Widow,67080,0,1
34187,Mr. Julian Graham,1983,Basic,Single,30255,1,0
19688,Mr. William Carr,1963,Graduation,Married,91796,0,0
32498,Mr. Dominic Ross,1962,PhD,Married,53199,1,2
17108,Mr. Warren McLean,1979,Graduation,Together,48173,0,0
10352,Mr. Colin Ince,1983,Graduation,Married,48008,0,0
15176,Miss Natalie MacDonald,1971,Graduation,Single,122297,0,0
35072,Mrs. Leah Wright,1983,HighSchool,Divorced,122120,1,0
8924,Mr. Jack Grant,1975,Graduation,Together,116511,0,0
28598,Mr. Julian Nash,1984,Graduation,Married,64648,1,1
21002,Mr. Cameron Sutherland,1985,Graduation,Married,98475,0,0
12503,Miss Irene Parr,1984,Graduation,Together,77904,0,0
33326,Miss Penelope James,1976,Master,Single,43183,1,0
28727,Mr. Adam Avery,1978,Graduation,Divorced,105334,0,1
20261,Mr. Sam King,1979,Master,Married,105910,1,0
28988,Mr. David Carr,1984,Master,Married,106950,0,1
6026,Miss Jane Abraham,1985,Master,Single,69027,0,1
7775,Mr. Harry MacDonald,1970,Graduation,Married,87391,1,1
19556,Mr. Leonard James,1972,PhD,Married,42188,1,1
31919,Mr. Evan Baker,1958,Graduation,Married,67329,0,1
14081,Mr. Nathan Hudson,1976,Graduation,Married,125192,0,0
24521,Miss Amanda Jackson,1995,Master,together,62583,0,0
28535,Mr. Frank Paige,1963,Graduation,Married,110186,0,0
20570,Mr. Christian McLean,1955,Graduation,Widow,104977,0,0
15662,Miss Rose King,1954,Graduation,Together,36242,0,0
17270,Mr. Jack Allan,1964,Graduation,Married,38559,1,1
20498,Mrs. Rebecca Tucker,1969,PhD,Married,59328,0,1
13346,Mr. Christian Turner,1978,Graduation,Married,69401,1,1
10109,Mr. Owen Butler,1994,PhD,Single,134602,0,0
23084,Miss Jessica Robertson,1976,Graduation,Together,56809,1,1
26417,Mr. Joseph Tucker,1977,Master,Together,42810,1,0
27638,Miss Megan Hart,1960,Master,Single,139557,0,0
23162,Mr. Justin Wallace,1988,Graduation,Married,98897,0,0
5087,Mrs. Kylie Russell,1969,PhD,Divorced,102929,0,1
34487,Mr. Jack Fisher,1972,PhD,Together,130605,0,0
5174,Mr. Simon Scott,1997,Graduation,Single,131981,0,0
26237,Miss Claire Thomson,1968,PhD,Together,95417,0,1
25901,Miss Sally MacLeod,1995,Master,Single,94502,0,0
29207,Mr. David Scott,1979,Graduation,Single,77579,1,1
34856,Mr. Robert Glover,1988,Graduation,Married,16893,1,0
28058,Mr. Sean Paige,1968,Graduation,Married,106573,0,0
21362,Mr. Eric Mackenzie,1965,PhD,Together,72544,0,2
32327,Miss Jessica King,1993,Graduation,Single,17709,0,0
34073,Miss Gabrielle Reid,1990,Master,Single,66084,1,0
18824,Mr. Joshua Blake,1986,HighSchool,Married,67675,1,0
9353,Mr. Stephen Nash,1962,PhD,Single,89561,0,1
11375,Mr. Stewart Johnston,1963,PhD,Together,104766,0,1
34817,Mr. Sam Morgan,1967,HighSchool,Married,95086,1,1
31040,Miss Diana Clarkson,1953,Master,Together,117036,0,0
17726,Mr. Trevor Grant,1966,PhD,Divorced,63062,1,1
16922,Mr. Nicholas Turner,1981,HighSchool,Married,94516,0,0
8963,Mr. Kevin Piper,1960,Graduation,Single,74659,1,1
9953,Miss Emily Wallace,1986,PhD,Together,112070,1,0
29345,Mr. Ian Clark,1972,PhD,Married,130434,0,0
5789,Mr. Cameron Gill,1979,Graduation,Divorced,82467,0,1
24248,Mr. Thomas Hardacre,1973,Graduation,Married,44220,0,0
32660,Mr. Jack Hart,1958,Graduation,Together,93228,1,1
30614,Mr. Adam Dickens,1996,Master,Married,108094,0,0
13520,Miss Natalie Fraser,1998,Graduation,Single,134426,0,0
20702,Mr. Neil Avery,1965,Graduation,Widow,149555,0,0
13055,Mr. Joseph Coleman,1977,PhD,Married,85347,0,1
19367,Mr. Joseph Taylor,1976,HighSchool,Single,56820,1,1
21809,Mr. Boris Campbell,1976,Graduation,Divorced,79001,0,1
13082,Mr. Christian Terry,1997,PhD,Married,101924,0,0
33110,Miss Wanda Metcalfe,1984,PhD,Single,112701,0,0
14393,Mr. Charles Glover,1963,HighSchool,Married,63813,0,1
8927,Mr. Edward King,1979,HighSchool,Widow,70141,0,1
33764,Mr. Jacob Hill,1988,Graduation,Married,104893,0,0
25601,Mr. Stephen Nolan,1981,Graduation,Married,20522,1,0
13247,Mrs. Audrey Piper,1985,PhD,Divorced,94892,1,0
14018,Mr. Adam Sharp,1966,Master,Together,83544,2,1
26819,Mr. Adam Wilkins,1985,HighSchool,Divorced,30111,1,0
10100,Miss Rose Knox,1977,Graduation,Together,99942,0,1
18875,Mr. Phil Clarkson,1956,PhD,Married,105217,0,0
8225,Mr. Jonathan Churchill,1969,Graduation,Single,38031,1,1
10940,Mr. Stephen Miller,1993,PhD,Single,72779,0,0
11447,Miss Abigail Ellison,1952,Master,Together,100860,0,0
20978,Mr. Frank Dyer,1993,Graduation,Single,38146,1,0
33185,Mr. Ian Morgan,1967,Graduation,Single,89313,0,1
33167,Mr. Austin Clark,1981,HighSchool,Together,57085,1,0
33404,Mr. Michael Berry,1985,Graduation,Single,76753,0,0
33797,Miss Virginia Carr,1997,Master,Together,88735,0,0
29474,Mr. Sean Knox,1966,Graduation,Widow,94392,0,1
8345,Miss Angela Rutherford,1990,HighSchool,Single,96325,0,0
11978,Miss Julia Mackay,1981,Graduation,Single,60307,2,1
